symbol,days_of_data,date_from,date_to,avg_volume,avg_close
HAPPSTMNDS,337,2023-12-26,2025-05-06,605009.4094955489,773.3870919881304
DMART,337,2023-12-26,2025-05-06,601455.762611276,4241.827448071214
PVRINOX,337,2023-12-26,2025-05-06,596668.7210682492,1351.301483679525
EICHERMOT,337,2023-12-26,2025-05-06,596387.9910979229,4685.845548961424
PERSISTENT,337,2023-12-26,2025-05-06,583228.6795252225,4867.274332344215
ASTRAL,337,2023-12-26,2025-05-06,582121.181008902,1836.5439169139463
SIGNATURE,337,2023-12-26,2025-05-06,578330.5608308605,1293.874925816024
VIJAYA,337,2023-12-26,2025-05-06,576498.5222551929,872.8982195845701
JUSTDIAL,337,2023-12-26,2025-05-06,574024.8367952523,997.0109792284865
MCX,337,2023-12-26,2025-05-06,559733.5786350148,4804.240059347182
COFORGE,337,2023-12-26,2025-05-06,556432.1632047477,6835.998219584573
LATENTVIEW,337,2023-12-26,2025-05-06,549681.5667655786,467.70771513353174
DIVISLAB,337,2023-12-26,2025-05-06,549383.6795252225,4933.620623145401
SIEMENS,337,2023-12-26,2025-05-06,547842.9495548961,4567.082789317511
KANSAINER,337,2023-12-26,2025-05-06,547227.0267062314,278.13065281899117
VGUARD,337,2023-12-26,2025-05-06,545072.1899109792,385.1688427299704
TATACOMM,337,2023-12-26,2025-05-06,544986.7181008902,1777.8146884272985
EIDPARRY,337,2023-12-26,2025-05-06,542532.7715133531,739.5318991097922
ZENTEC,337,2023-12-26,2025-05-06,535830.0385756677,1402.7955489614255
KIMS,337,2023-12-26,2025-05-06,534087.1454005935,499.40341246290797
AKUMS,185,2024-08-06,2025-05-06,533295.7621621621,671.5370270270269
CYIENT,337,2023-12-26,2025-05-06,531370.7477744807,1803.1170623145404
LLOYDSME,337,2023-12-26,2025-05-06,531127.4955489615,884.7729970326411
IKS,92,2024-12-19,2025-05-06,528837.5326086957,1690.8086956521731
MARUTI,337,2023-12-26,2025-05-06,525829.6112759644,11882.898961424336
BLUESTARCO,337,2023-12-26,2025-05-06,522792.881305638,1686.3163204747777
BEML,337,2023-12-26,2025-05-06,511507.17210682493,3630.0750741839765
